gss_code,BoroughName,population
E09000002,Barking and Dagenham,214107
E09000003,Barnet,399007
E09000004,Bexley,249301
E09000005,Brent,327753
E09000006,Bromley,332752
E09000007,Camden,279516
E09000001,City of London,10938
E09000008,Croydon,388563
E09000009,Ealing,340341
E09000010,Enfield,333587
E09000011,Greenwich,289034
E09000012,Hackney,280941
E09000013,Hammersmith and Fulham,183544
E09000014,Haringey,266357
E09000015,Harrow,252338
E09000016,Havering,260651
E09000017,Hillingdon,309014
E09000018,Hounslow,271767
E09000019,Islington,248115
E09000020,Kensington and Chelsea,156864
E09000021,Kingston upon Thames,179142
E09000022,Lambeth,321813
E09000023,Lewisham,305309
E09000024,Merton,206453
E09000025,Newham,355266
E09000026,Redbridge,305658
E09000027,Richmond upon Thames,198141
E09000028,Southwark,320017
E09000029,Sutton,207707
E09000030,Tower Hamlets,331969
E09000031,Waltham Forest,276940
E09000032,Wandsworth,329735
E09000033,Westminster,269848